FF times,LED times
"(4.354488404965575, 0.0)","(4.354488404965575, 1.0)"
"(4.3711722685861325, 0.0)","(4.3711722685861325, 1.0)"
"(4.38785613220669, 0.0)","(4.38785613220669, 1.0)"
"(4.404539995827248, 0.0)","(4.404539995827248, 1.0)"
"(4.421223859447806, 0.0)","(4.421223859447806, 1.0)"
"(4.437907723068364, 1.0)","(4.437907723068364, 1.0)"
"(4.454591586688921, 1.0)","(4.454591586688921, 1.0)"
"(4.471275450309479, 0.0)","(4.471275450309479, 1.0)"
"(4.487959313930037, 0.0)","(4.487959313930037, 1.0)"
"(4.504643177550594, 0.0)","(4.504643177550594, 1.0)"
"(4.521327041171152, 0.0)","(4.521327041171152, 1.0)"
"(4.53801090479171, 0.0)","(4.53801090479171, 1.0)"
"(4.554694768412268, 0.0)","(4.554694768412268, 1.0)"
"(4.571378632032826, 0.0)","(4.571378632032826, 1.0)"
"(4.588062495653384, 0.0)","(4.588062495653384, 1.0)"
"(4.604746359273942, 0.0)","(4.604746359273942, 1.0)"
"(4.6214302228945, 0.0)","(4.6214302228945, 1.0)"
"(4.638114086515057, 0.0)","(4.638114086515057, 1.0)"
"(4.654797950135615, 0.0)","(4.654797950135615, 1.0)"
"(4.671481813756173, 0.0)","(4.671481813756173, 1.0)"
"(4.68816567737673, 0.0)","(4.68816567737673, 1.0)"
"(4.704849540997288, 0.0)","(4.704849540997288, 1.0)"
"(4.721533404617846, 0.0)","(4.721533404617846, 1.0)"
"(4.738217268238404, 0.0)","(4.738217268238404, 1.0)"
"(4.754901131858961, 0.0)","(4.754901131858961, 1.0)"
"(4.771584995479519, 0.0)","(4.771584995479519, 1.0)"
"(4.788268859100077, 0.0)","(4.788268859100077, 1.0)"
"(4.804952722720635, 0.0)","(4.804952722720635, 1.0)"
"(4.821636586341192, 0.0)","(4.821636586341192, 1.0)"
"(4.83832044996175, 0.0)","(4.83832044996175, 1.0)"
"(4.855004313582308, 1.0)","(4.855004313582308, 1.0)"
"(4.8716881772028655, 1.0)","(4.8716881772028655, 1.0)"
"(4.888372040823423, 0.0)","(4.888372040823423, 1.0)"
"(4.905055904443981, 0.0)","(4.905055904443981, 1.0)"
"(4.921739768064539, 0.0)","(4.921739768064539, 1.0)"
"(4.9384236316850965, 0.0)","(4.9384236316850965, 1.0)"
"(4.955107495305654, 0.0)","(4.955107495305654, 1.0)"
"(4.971791358926212, 0.0)","(4.971791358926212, 1.0)"
"(4.98847522254677, 0.0)","(4.98847522254677, 1.0)"
"(5.005159086167327, 0.0)","(5.005159086167327, 1.0)"
"(5.021842949787885, 0.0)","(5.021842949787885, 1.0)"
"(5.038526813408443, 0.0)","(5.038526813408443, 1.0)"
"(5.055210677029001, 0.0)","(5.055210677029001, 1.0)"
"(5.071894540649558, 0.0)","(5.071894540649558, 1.0)"
"(5.088578404270116, 0.0)","(5.088578404270116, 1.0)"
"(5.105262267890674, 0.0)","(5.105262267890674, 1.0)"
"(5.121946131511232, 0.0)","(5.121946131511232, 1.0)"
"(5.138629995131789, 0.0)","(5.138629995131789, 1.0)"
"(5.155313858752347, 0.0)","(5.155313858752347, 1.0)"
"(5.171997722372905, 0.0)","(5.171997722372905, 1.0)"
"(5.188681585993463, 0.0)","(5.188681585993463, 1.0)"
"(5.20536544961402, 0.0)","(5.20536544961402, 1.0)"
"(5.222049313234578, 0.0)","(5.222049313234578, 1.0)"
"(5.238733176855136, 0.0)","(5.238733176855136, 1.0)"
"(5.2554170404756935, 0.0)","(5.2554170404756935, 1.0)"
"(5.272100904096251, 0.0)","(5.272100904096251, 1.0)"
"(5.28878476771681, 1.0)","(5.28878476771681, 1.0)"
"(5.305468631337368, 0.0)","(5.305468631337368, 1.0)"
"(5.322152494957925, 0.0)","(5.322152494957925, 1.0)"
"(5.338836358578483, 0.0)","(5.338836358578483, 1.0)"
"(5.355520222199041, 0.0)","(5.355520222199041, 1.0)"
"(5.372204085819599, 0.0)","(5.372204085819599, 1.0)"
"(5.388887949440156, 0.0)","(5.388887949440156, 1.0)"
"(5.405571813060714, 0.0)","(5.405571813060714, 1.0)"
"(5.422255676681272, 0.0)","(5.422255676681272, 1.0)"
"(5.4389395403018295, 0.0)","(5.4389395403018295, 1.0)"
